distrito,pop_maior_19_anos
1,65458
2,34113
3,62256
4,66230
5,77007
6,12732
7,59794
8,36309
9,28837
10,24291
11,198369
12,43736
13,105598
14,31428
15,50955
16,83882
17,167744
18,103407
19,213996
20,67789
21,65783
22,208610
23,150904
24,100886
25,166721
26,49259
27,89064
28,87672
29,107756
30,276327
31,78131
32,74150
33,105974
34,87984
35,79524
36,168861
37,155326
38,175088
39,72229
40,18694
41,41683
42,154212
43,237638
44,95353
45,75767
46,215021
47,102489
48,54387
49,58663
50,59548
51,85678
52,6221
53,64020
54,40586
55,107215
56,13935
57,52527
58,118273
59,100908
60,94783
61,63400
62,54642
63,130221
64,68697
65,77904
66,50013
67,90805
68,201135
69,71643
70,91379
71,60297
72,111532
73,115386
74,64419
75,115404
76,214262
77,109924
78,19811
79,28504
80,78008
81,164277
82,77383
83,121457
84,112251
85,74400
86,43658
87,108461
88,35801
89,84018
90,109907
91,82232
92,93057
93,82721
94,92454
95,66031
96,123505
